Id,SalePrice
1461,745151.4667950906
1462,712953.612484632
1463,661013.5242043668
1464,655147.757319255
1465,654682.583322015
1466,680463.2151255559
1467,684587.5267382063
1468,690655.3020940201
1469,641947.7045821783
1470,742591.6881978773
1471,695531.8240868327
1472,756184.2692325012
1473,760084.9188187947
1474,705710.4047339614
1475,735258.7567690256
1476,468477.71458491264
1477,597185.9352771834
1478,561004.4640286096
1479,554913.8168181431
1480,348334.50997408805
1481,537053.086884412
1482,647685.2269991467
1483,676484.1842253975
1484,693532.6387747023
1485,671464.0184131883
1486,661042.276223401
1487,519276.2674431689
1488,630131.5999121959
1489,652356.6340074487
1490,598047.2812259132
1491,654806.4920488171
1492,758054.1305738298
1493,683573.066970481
1494,553572.2538708653
1495,563723.5243683353
1496,605413.7394341873
1497,677210.1641779909
1498,675828.1300625313
1499,688438.8280351987
1500,701169.1040842748
1501,667568.6654442396
1502,712640.448653546
1503,417320.8841476713
1504,613757.7559737033
1505,624774.2167667648
1506,657777.5991174723
1507,578870.8807277173
1508,649047.0965386732
1509,697382.5223956481
1510,709513.4144040662
1511,696074.4638295097
1512,684666.57821777
1513,707581.9677968988
1514,684849.6036693532
1515,627176.0713946029
1516,700054.3355340958
1517,658484.2884201292
1518,732835.0391303352
1519,633286.1148056501
1520,732011.1185857122
1521,716416.5158747371
1522,669368.2690942731
1523,740786.7033698095
1524,734327.6269424579
1525,733234.7422647506
1526,752749.5176765826
1527,754783.3932183152
1528,727659.8255651734
1529,701930.1654187557
1530,649966.2042287687
1531,745126.0333836016
1532,769782.6793097017
1533,702591.4702141356
1534,729990.1857624721
1535,698016.9073673252
1536,761761.9271951067
1537,804560.4082853503
1538,708093.683692033
1539,660994.3751526661
1540,741650.9859297008
1541,720060.3641761045
1542,689913.5546614516
1543,653056.7561275807
1544,775960.3732712707
1545,736459.4341921721
1546,713633.0981981406
1547,712567.2974446276
1548,713442.884072501
1549,736333.2271875163
1550,713656.3245123781
1551,747603.0601537683
1552,702946.8039043486
1553,713596.9842829361
1554,742429.9913937441
1555,682650.6409417627
1556,802821.7151849685
1557,732690.051583706
1558,739430.4603015056
1559,791554.3789590939
1560,747557.7211243965
1561,716575.6978412617
1562,724286.9060091275
1563,723718.2166982105
1564,696069.107153054
1565,703062.7773477099
1566,624222.8426136961
1567,771567.6269950677
1568,633273.8578857654
1569,710875.4511011015
1570,721835.7060367439
1571,762200.1005182654
1572,704864.9982347065
1573,556334.0332709504
1574,719512.2226147448
1575,613390.008026156
1576,614710.5983652589
1577,672463.5262364479
1578,704729.7747260734
1579,715985.2399672678
1580,661882.2655002516
1581,699890.6143986097
1582,722882.4795088379
1583,558920.0361827591
1584,631102.3490802293
1585,716453.7700237866
1586,761026.2851434348
1587,742793.3098078008
